session,amplitude,presence,response_presence,reaction_time
3,1.7778,0,0,0.3028
3,1.7778,1,1,0.2822
3,1.7778,1,1,0.5104
3,1.7778,1,0,0.282
3,1.7778,1,1,0.2857
3,1.7778,1,1,0.174
3,1.7778,0,0,0.2396
3,1.7778,0,0,0.3522
3,1.7778,0,0,0.2977
3,1.7778,0,0,0.3022
3,1.7778,0,0,0.124
3,1.7778,1,1,0.2059
3,1.7778,1,1,0.1943
3,1.7778,0,0,0.142
3,1.7778,0,1,0.4958
3,1.7778,1,1,0.4098
3,1.7778,1,0,0.2041
3,1.7778,1,1,0.3236
3,1.7778,0,0,0.3636
3,1.7778,1,1,0.372
4,1.7778,0,0,0.269
4,1.7778,1,1,0.2498
4,1.7778,0,0,0.3061
4,1.7778,0,0,0.2538
4,1.7778,0,0,0.1719
4,1.7778,1,0,0.2517
4,1.7778,1,1,0.3638
4,1.7778,1,1,0.2435
4,1.7778,1,1,0.2659
4,1.7778,0,0,0.2395
4,1.7778,0,0,0.3958
4,1.7778,0,0,0.5974
4,1.7778,0,0,0.3244
4,1.7778,1,1,0.2639
4,1.7778,1,1,0.2758
4,1.7778,1,1,0.3037
4,1.7778,0,0,0.3338
4,1.7778,1,1,0.2095
4,1.7778,0,0,0.3301
4,1.7778,0,0,0.2219
3,1.5333,1,1,0.4838
3,1.5333,0,0,0.288
3,1.5333,0,1,0.422
3,1.5333,0,0,0.2452
3,1.5333,1,1,0.4039
3,1.5333,1,1,0.3139
3,1.5333,1,1,0.2699
3,1.5333,0,1,0.4378
3,1.5333,0,0,0.5064
3,1.5333,0,0,0.4057
3,1.5333,0,1,0.4298
3,1.5333,0,0,0.2583
3,1.5333,0,0,0.3058
3,1.5333,0,0,0.2144
3,1.5333,1,1,0.3426
3,1.5333,0,0,0.3201
3,1.5333,0,0,0.2903
3,1.5333,0,0,0.264
3,1.5333,0,0,0.2518
3,1.5333,1,0,0.6176
4,1.5333,1,1,0.2524
4,1.5333,1,1,0.292
4,1.5333,0,0,0.2959
4,1.5333,1,0,0.4451
4,1.5333,0,0,0.2596
4,1.5333,0,0,0.2022
4,1.5333,1,0,0.3138
4,1.5333,1,1,0.404
4,1.5333,0,1,0.3157
4,1.5333,0,0,0.2385
4,1.5333,1,0,0.2718
4,1.5333,0,0,0.2918
4,1.5333,1,1,0.2963
4,1.5333,1,1,0.2219
4,1.5333,0,0,0.4917
4,1.5333,1,0,0.3916
4,1.5333,1,1,0.2503
4,1.5333,1,1,0.4637
4,1.5333,1,1,0.3677
4,1.5333,0,1,0.6398
3,1.2889,0,0,0.2737
3,1.2889,0,0,0.3478
3,1.2889,1,0,0.1846
3,1.2889,0,1,0.5176
3,1.2889,1,0,0.2659
3,1.2889,0,0,0.3079
3,1.2889,0,0,0.2805
3,1.2889,1,0,0.2702
3,1.2889,1,1,0.274
3,1.2889,0,0,0.2398
3,1.2889,0,0,0.3179
3,1.2889,0,0,0.4501
3,1.2889,0,1,0.4398
3,1.2889,1,0,0.2299
3,1.2889,1,0,0.4536
3,1.2889,1,1,0.3419
3,1.2889,0,1,0.2861
3,1.2889,0,0,0.438
3,1.2889,1,0,0.2738
3,1.2889,0,0,0.2021
4,1.2889,1,1,0.4818
4,1.2889,0,0,0.2561
4,1.2889,0,0,0.3645
4,1.2889,1,1,0.238
4,1.2889,0,0,0.2856
4,1.2889,0,0,0.3278
4,1.2889,1,1,0.2317
4,1.2889,0,0,0.2119
4,1.2889,0,0,0.3778
4,1.2889,0,0,0.3498
4,1.2889,1,1,0.2838
4,1.2889,1,1,0.2598
4,1.2889,0,0,0.432
4,1.2889,0,0,0.3316
4,1.2889,0,0,0.5096
4,1.2889,0,0,0.3538
4,1.2889,1,1,0.4735
4,1.2889,0,0,0.3278
4,1.2889,1,1,0.2279
4,1.2889,1,1,0.3938
3,1.0444,1,1,0.3059
3,1.0444,1,1,0.2461
3,1.0444,0,0,0.3122
3,1.0444,1,0,0.2602
3,1.0444,0,1,0.5304
3,1.0444,1,1,0.3083
3,1.0444,0,1,0.4377
3,1.0444,1,1,0.4541
3,1.0444,0,0,0.3557
3,1.0444,0,0,0.3878
3,1.0444,0,1,0.4618
3,1.0444,1,0,0.2987
3,1.0444,0,1,0.3042
3,1.0444,1,1,0.2844
3,1.0444,0,0,0.4636
3,1.0444,1,0,0.4058
3,1.0444,1,1,0.398
3,1.0444,0,0,0.9096
3,1.0444,1,0,0.8298
3,1.0444,1,1,0.3059
4,1.0444,1,1,0.3398
4,1.0444,1,1,0.1936
4,1.0444,0,0,0.2858
4,1.0444,0,0,0.2279
4,1.0444,0,0,0.2039
4,1.0444,1,1,0.2599
4,1.0444,1,0,0.2896
4,1.0444,0,0,0.3817
4,1.0444,0,0,0.2938
4,1.0444,1,1,0.3398
4,1.0444,1,0,0.2458
4,1.0444,0,0,0.188
4,1.0444,1,0,0.1799
4,1.0444,1,1,0.3338
4,1.0444,0,0,0.2239
4,1.0444,0,0,0.4157
4,1.0444,1,0,0.2618
4,1.0444,0,1,0.234
4,1.0444,0,0,0.2179
4,1.0444,1,0,0.3115
3,0.8,1,0,0.3419
3,0.8,1,0,0.37
3,0.8,1,1,0.6818
3,0.8,1,0,0.2879
3,0.8,0,0,0.3799
3,0.8,1,1,0.6278
3,0.8,0,0,0.3596
3,0.8,1,1,0.388
3,0.8,0,1,0.3741
3,0.8,0,0,0.5038
3,0.8,0,0,0.3241
3,0.8,0,0,0.2998
3,0.8,0,0,0.464
3,0.8,1,1,0.5101
3,0.8,0,0,0.5304
3,0.8,1,0,0.4458
3,0.8,1,1,0.3641
3,0.8,0,0,0.3159
3,0.8,0,0,0.4421
3,0.8,0,0,0.3022
4,0.8,0,0,0.3018
4,0.8,0,1,0.2878
4,0.8,1,1,0.2967
4,0.8,1,0,0.2543
4,0.8,1,1,0.3558
4,0.8,0,1,0.3099
4,0.8,0,0,0.1439
4,0.8,0,0,0.2916
4,0.8,1,0,0.4397
4,0.8,0,0,0.1505
4,0.8,1,0,0.118
4,0.8,0,1,0.4436
4,0.8,0,1,0.274
4,0.8,1,1,0.2881
4,0.8,0,1,0.2838
4,0.8,0,1,0.1856
4,0.8,0,0,0.2798
4,0.8,1,1,0.2597
4,0.8,0,0,0.1619
4,0.8,1,1,0.2658
